common_name,group_primary,groups,likelihood,season
Mourning Dove,Dove & Pigeon,Dove & Pigeon,5,Year-round
Common Nighthawk,Nightjar & Swift,Nightjar & Swift|Aerial Insectivore,4,Migration/Summer
Chimney Swift,Nightjar & Swift,Nightjar & Swift|Aerial Insectivore,5,Summer
House Finch,Songbird,Songbird|Finch,5,Year-round
Eastern Wood-Pewee,Songbird,Songbird|Flycatcher|Aerial Insectivore,4,Summer
American Robin,Songbird,Songbird|Thrush,5,Year-round
Great Horned Owl,Bird of Prey,Bird of Prey|Owl,3,Year-round
Barred Owl,Bird of Prey,Bird of Prey|Owl,3,Year-round
Eastern Screech-Owl,Bird of Prey,Bird of Prey|Owl,3,Year-round
Mallard,Waterfowl,Waterfowl|Waterbird,5,Year-round
Ruby-throated Hummingbird,Hummingbird,Hummingbird,5,Summer
Great Blue Heron,Wading Bird,Wading Bird|Waterbird,5,Year-round
Blue Jay,Songbird,Songbird|Corvid,5,Year-round
White-breasted Nuthatch,Songbird,Songbird,5,Year-round
Gray Catbird,Songbird,Songbird,5,Summer
American Goldfinch,Songbird,Songbird|Finch,5,Year-round
Wood Duck,Waterfowl,Waterfowl|Waterbird,4,Year-round
Black-crowned Night Heron,Wading Bird,Wading Bird|Waterbird,3,Summer
Green Heron,Wading Bird,Wading Bird|Waterbird,4,Summer
Belted Kingfisher,Waterbird,Waterbird,4,Year-round
Cedar Waxwing,Songbird,Songbird,4,Year-round
Northern Cardinal,Songbird,Songbird,5,Year-round
House Sparrow,Songbird,Songbird,5,Year-round
Barn Swallow,Songbird,Songbird|Swallow|Aerial Insectivore,5,Summer
Eastern Bluebird,Songbird,Songbird|Thrush,4,Year-round
Chipping Sparrow,Songbird,Songbird|Sparrow,5,Summer
Red-winged Blackbird,Songbird,Songbird|Blackbird & Oriole,5,Year-round
American Crow,Songbird,Songbird|Corvid,5,Year-round
European Starling,Songbird,Songbird,5,Year-round
Canada Goose,Waterfowl,Waterfowl|Waterbird,5,Year-round
Ring-billed Gull,Gull & Tern,Gull & Tern|Waterbird,5,Year-round
Savannah Sparrow,Songbird,Songbird|Sparrow,4,Migration/Summer
Cooper's Hawk,Bird of Prey,Bird of Prey,4,Year-round
Carolina Wren,Songbird,Songbird|Wren,4,Year-round
Wood Thrush,Songbird,Songbird|Thrush,4,Summer
Eastern Towhee,Songbird,Songbird|Sparrow,4,Summer
Common Grackle,Songbird,Songbird|Blackbird & Oriole,5,Year-round
Great Egret,Wading Bird,Wading Bird|Waterbird,4,Summer
Osprey,Bird of Prey,Bird of Prey,4,Summer
Northern Rough-winged Swallow,Songbird,Songbird|Swallow|Aerial Insectivore,4,Summer
American Barn Owl,Bird of Prey,Bird of Prey|Owl,1,Year-round
American Kestrel,Bird of Prey,Bird of Prey,4,Year-round
Downy Woodpecker,Woodpecker,Woodpecker,5,Year-round
Carolina Chickadee,Songbird,Songbird,2,Year-round
Black-capped Chickadee,Songbird,Songbird,5,Year-round
Tufted Titmouse,Songbird,Songbird,5,Year-round
Northern Flicker,Woodpecker,Woodpecker,5,Year-round
Hairy Woodpecker,Woodpecker,Woodpecker,4,Year-round
American Black Duck,Waterfowl,Waterfowl|Waterbird,3,Migration/Winter
Common Merganser,Waterfowl,Waterfowl|Waterbird,3,Winter
American Herring Gull,Gull & Tern,Gull & Tern|Waterbird,5,Year-round
Double-crested Cormorant,Waterbird,Waterbird,5,Year-round
Red-bellied Woodpecker,Woodpecker,Woodpecker,5,Year-round
Pileated Woodpecker,Woodpecker,Woodpecker,3,Year-round
Tree Swallow,Songbird,Songbird|Swallow|Aerial Insectivore,5,Summer
Killdeer,Shorebird,Shorebird,5,Year-round
Bald Eagle,Bird of Prey,Bird of Prey,4,Year-round
Eastern Kingbird,Songbird,Songbird|Flycatcher|Aerial Insectivore,4,Summer
Purple Martin,Songbird,Songbird|Swallow|Aerial Insectivore,3,Summer
Baltimore Oriole,Songbird,Songbird|Blackbird & Oriole,5,Summer
Rock Pigeon,Dove & Pigeon,Dove & Pigeon,5,Year-round
Yellow-billed Cuckoo,Cuckoo,Cuckoo,3,Summer
Spotted Sandpiper,Shorebird,Shorebird,4,Summer
Caspian Tern,Gull & Tern,Gull & Tern|Waterbird,3,Migration/Summer
Turkey Vulture,Bird of Prey,Bird of Prey|Vulture,5,Year-round
Song Sparrow,Songbird,Songbird|Sparrow,5,Year-round
Indigo Bunting,Songbird,Songbird,4,Summer
Blue-gray Gnatcatcher,Songbird,Songbird,4,Summer
Wild Turkey,Gamebird,Gamebird,3,Year-round
Red-tailed Hawk,Bird of Prey,Bird of Prey,5,Year-round
Pied-billed Grebe,Waterbird,Waterbird,3,Migration
Great Crested Flycatcher,Songbird,Songbird|Flycatcher|Aerial Insectivore,4,Summer
Swamp Sparrow,Songbird,Songbird|Sparrow,3,Migration/Summer
Red-shouldered Hawk,Bird of Prey,Bird of Prey,3,Year-round
Eastern Phoebe,Songbird,Songbird|Flycatcher|Aerial Insectivore,5,Summer
Red-eyed Vireo,Songbird,Songbird|Vireo,4,Summer
Bonaparte's Gull,Gull & Tern,Gull & Tern|Waterbird,3,Migration/Winter
American Golden-Plover,Shorebird,Shorebird,2,Migration
Wilson's Snipe,Shorebird,Shorebird,3,Migration
Solitary Sandpiper,Shorebird,Shorebird,3,Migration
Lesser Yellowlegs,Shorebird,Shorebird,3,Migration
Greater Yellowlegs,Shorebird,Shorebird,3,Migration
Baird's Sandpiper,Shorebird,Shorebird,2,Migration
Least Sandpiper,Shorebird,Shorebird,3,Migration
Pectoral Sandpiper,Shorebird,Shorebird,3,Migration
Horned Lark,Songbird,Songbird,3,Year-round
Red-headed Woodpecker,Woodpecker,Woodpecker,2,Year-round
Cape May Warbler,Songbird,Songbird|Warbler,3,Migration
Merlin,Bird of Prey,Bird of Prey,2,Migration/Winter
Common Yellowthroat,Songbird,Songbird|Warbler,5,Summer
Sharp-shinned Hawk,Bird of Prey,Bird of Prey,3,Migration/Winter
Field Sparrow,Songbird,Songbird|Sparrow,3,Summer
Bobolink,Songbird,Songbird|Blackbird & Oriole,3,Summer
Eastern Meadowlark,Songbird,Songbird|Blackbird & Oriole,3,Year-round
Yellow-bellied Flycatcher,Songbird,Songbird|Flycatcher|Aerial Insectivore,2,Migration
Least Flycatcher,Songbird,Songbird|Flycatcher|Aerial Insectivore,3,Migration/Summer
Northern House Wren,Songbird,Songbird|Wren,5,Summer
Swainson's Thrush,Songbird,Songbird|Thrush,3,Migration
Magnolia Warbler,Songbird,Songbird|Warbler,4,Migration
Blackburnian Warbler,Songbird,Songbird|Warbler,3,Migration
Rose-breasted Grosbeak,Songbird,Songbird,4,Summer
White-eyed Vireo,Songbird,Songbird|Vireo,2,Summer
Great Black-backed Gull,Gull & Tern,Gull & Tern|Waterbird,3,Winter
Bank Swallow,Songbird,Songbird|Swallow|Aerial Insectivore,3,Summer
Black Vulture,Bird of Prey,Bird of Prey|Vulture,2,Year-round
Green-winged Teal,Waterfowl,Waterfowl|Waterbird,3,Migration
Semipalmated Plover,Shorebird,Shorebird,3,Migration
Sandhill Crane,Wading Bird,Wading Bird,3,Migration/Summer
American White Pelican,Waterbird,Waterbird,1,Migration
Marsh Wren,Marsh Bird,Marsh Bird|Songbird|Wren,3,Summer
Broad-winged Hawk,Bird of Prey,Bird of Prey,3,Migration/Summer
Bay-breasted Warbler,Songbird,Songbird|Warbler,3,Migration
Northern Mockingbird,Songbird,Songbird,3,Year-round
Trumpeter Swan,Waterfowl,Waterfowl|Waterbird,2,Year-round
Black-and-white Warbler,Songbird,Songbird|Warbler,4,Migration/Summer
Mute Swan,Waterfowl,Waterfowl|Waterbird,3,Year-round
Red-breasted Nuthatch,Songbird,Songbird,3,Migration/Winter
Blue-winged Teal,Waterfowl,Waterfowl|Waterbird,3,Migration
Short-billed Dowitcher,Shorebird,Shorebird,2,Migration
Willet,Shorebird,Shorebird,1,Migration
Semipalmated Sandpiper,Shorebird,Shorebird,3,Migration
Willow Flycatcher,Songbird,Songbird|Flycatcher|Aerial Insectivore,3,Summer
Forster's Tern,Gull & Tern,Gull & Tern|Waterbird,2,Migration
Common Tern,Gull & Tern,Gull & Tern|Waterbird,3,Migration/Summer
Fish Crow,Songbird,Songbird|Corvid,2,Year-round
Common Raven,Songbird,Songbird|Corvid,2,Year-round
Blue Grosbeak,Songbird,Songbird,1,Summer
Northern Yellow Warbler,Songbird,Songbird|Warbler,5,Summer
Yellow-throated Warbler,Songbird,Songbird|Warbler,2,Summer
Chestnut-sided Warbler,Songbird,Songbird|Warbler,4,Migration/Summer
Yellow-throated Vireo,Songbird,Songbird|Vireo,3,Summer
Eastern Warbling Vireo,Songbird,Songbird|Vireo,4,Summer
Stilt Sandpiper,Shorebird,Shorebird,2,Migration
Cliff Swallow,Songbird,Songbird|Swallow|Aerial Insectivore,3,Summer
Acadian Flycatcher,Songbird,Songbird|Flycatcher|Aerial Insectivore,3,Summer
